Timestamp         Commit    Act    Affil     Subject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
────────────────  ────────  ─────  ────────  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
2026-04-27 11:17  32676ca5  [n]    ₢BBAAQ    Demote the docket Character bullet in CLAUDE.md Collaboration Style from a section-shaped prescription to a posture line, biasing future dockets toward spare result-articulation rather than full-briefing prose. Emerged from this BBAAQ session: when asked to draft a continuation prompt for the pace's remaining surfaces, the prompt over-packed (pre-listed constants, pre-decided voicings, enumerated behavioral contracts) instead of pointing at the docket and trusting future-you to read it fresh. Conversation-side diagnosis: dense CLAUDE.md primes dense outputs; the previous Character bullet ("Dockets benefit from a `## Character` section ...") modeled section-shaped thinking by naming Character as a *section*, which subtly primed me to fill in *other* sections too (Scope, Constraints, Out of Scope, References) until dockets read like mini-specs and continuation prompts inherited the same shape. New bullet retains the Character idea (load-bearing for distinguishing "intricate but mechanical" attention from "design conversation requiring judgment" attention) but reframes it as a short *line* not a *section*, and adds an explicit restraint clause ("the rest of the docket should resist filling in"). Edit lives only in /Users/bhyslop/projects/rbm_alpha_recipemuster/CLAUDE.md (the project-level CLAUDE.md, not the parent-directory STOP files). No new bullet added, no new collaboration-style protocol named — deliberately resisted naming a "Handoff Protocol" to avoid the symmetry-with-Mount-Protocol urge that would have introduced the very sophistication this edit is correcting against. Net length of the bullet roughly stable. Affiliated to BBAAQ as the pace whose session surfaced the failure mode and whose remaining surfaces (2 and 3) are the proximate beneficiaries when next-session future-me reads the new bullet before authoring. Three unrelated dirty files in working tree at notch time (Tools/rbk/rbgc_Constants.sh, rbgp_Payor.sh, rbgp_cli.sh) appear to be another officium's BBAAS depot-list-decouple-from-rbrr work — not mine, not in this commit per CLAUDE.md additive-only discipline.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2026-04-27 11:05  28250cb1  [n]    ₢BBAAQ    Surface 1 of multi-fact-cult-verb-spec: BUS0 multi-element fact-file convention authored against BBAAO landed code (commit bffc58cb). Four new quoins enrolled in mapping section and bodied in §"Fact-File Pattern", arranged as concept/impl/instance triples paralleling the existing single-form set. (1) :busff_multi_fact: — concept quoin sibling to busff_fact_file. Voicing axl_voices axo_entity. Body composes three rules: type-as-extension naming (<root>.<extension>; root identifies per-row instance, extension classifies fact type), closed registry (each allowed extension is a BUF_EXT_<NAME> constant in buf_fact.sh; constant value matches name downcased; opaque ad-hoc extensions are not the shape), BUK/RB boundary discipline (BUK registry holds only BUK-domain extensions; RB-domain extensions register in rbgc_Constants.sh under RBGP_FACT_EXT_*; neither universe enumerates the other; boundary by producer-module ownership not on-disk location). Emission cardinality stated explicitly: one write per <root,extension> key per dispatch — second write is a bug surfaced fatally by buf_write_fact_multi's preexistence check. Distinguishing prose pinned at end: single-form is one named-content slot per dispatch (filename is the contract); multi-form is many same-shaped emissions per dispatch (extension is the contract, root is per-row). (2) :buf_write_fact_multi: — implementation quoin sibling to buf_write_fact_single. Voicing axl_voices axo_entity. Body: signature buf_write_fact_multi <file_root> <ext> <value>, dual-write to BURD_OUTPUT_DIR + BURD_TEMP_DIR mirroring single-form, fail-on-preexist, ext is opaque pass-through (registered BUF_EXT_* constant at call site is the contract, no in-function registry validation — out-of-registry usage is producer-side bug for code review). Code example shows per-row emission inside a producer loop using BUF_EXT_ALIAS. Cross-refs busff_multi_fact for the implemented pattern and buf_write_fact_single for the mirrored shape. (3) :buf_ext_alias: — instance quoin sibling to buf_burx_env. Voicing axl_voices axt_enum_value (closed-registry member shape; intentional mismatch with buf_burx_env's axpof_fact precedent which voices a fact-file filename rather than a registry-member token). Body documents BUF_EXT_ALIAS="buf_ext_alias" as registered BUK-domain extension constant for BURH alias observation facts; written by burh_list_capture per discovered alias profile with empty content (presence-of-file is the fact); flagged as first-and-sole registry member serving as proof-of-shape for the convention. (4) Dependency-required rename bundled in same commit (out-of-Surface-1 staleness from BBAAO that Surface 1 text cannot ignore): :buf_write_fact: → :buf_write_fact_single: at mapping line, anchor, all body references including code examples, and one downstream reference inside burx_regime body. Body language updated to pair cleanly with the new multi-form ("All single-form fact-file producers must use buf_write_fact_single ... multi-row producers use buf_write_fact_multi"). Code example comment for the burx.env case rephrased "Single-slot fact whose body has structured content" to disambiguate from the new multi-fact terminology. Section structure post-edit reads as concept-then-impl pairs: busff_fact_file → busff_multi_fact → buf_write_fact_single → buf_write_fact_multi → buf_burx_env → buf_ext_alias. Out-of-surface staleness surfaced but not touched per docket scope: README glossary entries for the multi-fact convention sit in Surface 3 of this pace; existing buf_burx_env voicing predates linked-term sweeps and uses bare //axpof_fact (no axl_voices) — not load-bearing for Surface 1; sibling specs that may reference buf_write_fact bare-name unswept. Three remaining surfaces in BBAAQ pending: Surface 2 (RBS0 cult-verb concepts from BBAAN paddock-settled vocabulary), Surface 3 (README glossary for cult-verb triad and observation-fact convention), and the BBAAN-derived handbook reroute work.                         
2026-04-27 10:57  a67aefea  [n]    ₢BBAAQ    Surface 4 of multi-fact-cult-verb-spec: RBS0 + RBSDE depot-identity banner sweep matching BBAAM Steps 1-5 code reality. (1) RBS0 mapping section drops three stale entries — rbrr_depot_project_id, rbrr_gar_repository, rbrr_gcb_pool_stem — matching BBAAM Step 2's precedent of deleting RBGP_FACT_DEPOT_PROJECT_ID from mapping when its bash constant was dropped from rbgc_Constants.sh. The three RBRR fields were similarly dropped from rbrr_regime.sh enrollment in BBAAM Step 1 but their RBS0 mapping/definitions were missed in that sweep. (2) RBS0 definition blocks deleted at the corresponding [[anchor]] sites: rbrr_depot_project_id (former lines 2610-2617), rbrr_gar_repository (former 2629-2640 — its body referenced rbrr_depot_project_id, gone with parent), rbrr_gcb_pool_stem (former 2731-2740). The standalone NOTE block on private-pool requirement that followed gcb_pool_stem (machine type naming systems, regional pricing, e2/n2d/c3 family validation) preserved in place since it ends with a binding constraint on rbrr_gcb_machine_type — load-bearing content for that surviving quoin. (3) RBS0 line 1833 prose reference to RBRR_GCB_POOL_STEM rephrased to '(RBRR_CLOUD_PREFIX, RBRR_DEPOT_MONIKER)' derivation in the vouch-on-private-pool description. (4) RBSDE rewritten to match BBAAM Step 2 zero-arg, RBDC-driven shape: dropped axhopt_typed_parameter section taking «INPUT_DEPOT_NAME» (no CLI param now), dropped timestamp-generation step (timestamp eliminated by collapse), added 'Derive Depot Identity' axhos_step exposing the four RBDC values «DEPOT_PROJECT_ID»=${CLOUD_PREFIX}d-${MONIKER}, «GAR_REPOSITORY»=${CLOUD_PREFIX}${MONIKER}-gar, «WORKER_POOL_STEM»=${CLOUD_PREFIX}${MONIKER}-pool, «BUILD_BUCKET»=${CLOUD_PREFIX}b-${MONIKER}. Joint-length validation note added pointing at zrbrr_enforce as upstream guard (replaces the deleted post-construction 30-char check). Project-create step gains a NOTE on soft-delete graveyard collision being intentionally fatal under the (CLOUD_PREFIX, MONIKER) shape. Resource construction sites updated to reference the derived constants by name. Mason SA naming preserved as mason-«RBRR_DEPOT_MONIKER» per paddock's Mason-SA-name-unchanged lock. Post-creation banner trimmed to single-line success + governor_mantle hint (matches BBAAM Step 2's banner trim). Tracking step description updated to 'per-moniker depot fact files' (matches BBAAM Step 4's rbgp_depot_list reshape). No new quoin authoring per docket constraint — used literal RBRR_CLOUD_PREFIX / RBRR_DEPOT_MONIKER and RBDC_* identifiers in prose rather than introducing rbrr_depot_moniker / rbdc_* attribute references in the mapping section. Out-of-surface staleness surfaced but not touched: RBSRR-RegimeRepo.adoc carries definition prose for the three retired RBRR fields (lines 31, 53, 58, 164); 11 sibling operation specs (RBSGM, RBSDK, RBSRK, RBSSF, RBSSL, RBSAJ, RBSIW, RBSDY, RBSDI, RBSTB, RBSRR) reference the deleted quoins via {rbrr_depot_project_id} etc. and will render as literal text post-edit; RBSDU-depot_unmake.adoc describes the same stale CLI-arg + INPUT_DEPOT_NAME shape (BBAAM Step 3 made unmake zero-arg too). These sit outside the docket's RBS0 + RBSDE surface and would need a separate sweep pace. Three remaining surfaces in BBAAQ (BUS0 multi-fact, RBS0 cult-verb, README glossary) pending.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2026-04-27 10:46  ebd8e8f4  [S]    ₣BB       depot-list-decouple-from-rbrr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2026-04-27 10:26  425e00de  [n]    ₢BBAAM    Cycle-driven debug — last cycle's four-CLI fix (commit bbe29817) verified GREEN against marshal-zero: rblm_zero progressed past kindling, executed all destructive operations cleanly (3 RBRA credentials deleted, 5 nameplate hallmarks blanked, 13 vessel rbrv.env depot-scoped fields blanked, rbrr.env zeroed), and auto-committed the result as 972e1dc3 'Marshal Zero — release qualification reset' (19 files, 31 insertions / 31 deletions). The buym→buh missing-kindle bug class is closed; previous cycle's diagnosis fully discharged. Surfaced this cycle: rblm_cli.sh:226 dies with 'RBZ_ONBOARDING: unbound variable' on the post-success 'Next:' display hint that pointers operators at the onboarding tabtarget after marshal-zero completes. Root cause: typo at the consumer site — code reaches for the constant family's intuitive name (RBZ_ONBOARDING) but the registered name is RBZ_ONBOARD_START_HERE (zipper enrollment at rbz_zipper.sh:85, points at rbw-o.ONBOARDING.sh). Constant defined exactly once, referenced at exactly one site (this typo'd consumer); grep for RBZ_ONBOARDING returns only the broken site. Fix: one-line rename at rblm_cli.sh:226, RBZ_ONBOARDING → RBZ_ONBOARD_START_HERE. The mutation+commit body of marshal-zero (lines 1-222) was untouched — bug is post-success cosmetic display routing, but its non-zero exit breaks the fail-fast caller contract that rbw-tP will consume. In-scope-additive to ₢BBAAM per cycle-driven-debug docket disposition: in-scope-blocking the verification path (same shape as last cycle's four-CLI sweep — surfaced during verification, routes into BBAAM rather than reopening A6 or any other upstream pace). Build/test verification deferred to next cycle's rbw-MZ rerun (matching the previous cycle's notch pattern of deferring confirmation to the subsequent cycle). Two surfaces noted as scar candidates for wrap-time routing: (1) buc_require in buc_command.sh:343-346 reads /dev/tty unconditionally with no probe for non-tty stdin — agent Bash tool isn't a TTY so first run failed with 'Device not configured'; documented BURE_CONFIRM=skip bypass exists at line 335-338 but only the implementer would discover it from error output. Probably wants tty-detection auto-skip with a clearer error pointing at the env var, OR an explicit BURE_CONFIRM_TTY_REQUIRED contract; not in-scope for this pace. (2) Operator-prerequisite chain check ('HEAD has unpushed commits') fired correctly on first attempt — guard worked, surfaced via clean error. Verification path next reachable step: re-run rbw-MZ to confirm the RBZ_ONBOARDING rename closes this cycle's surface, then advance to pristine-lifecycle fixture (cases 1, 2, 3).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2026-04-27 10:21  bbe29817  [n]    ₢BBAAM    Complete the ₢A6AAe sweep that added zbuym_sentinel to zbuh_kindle. Four _cli.sh files were missed and now get `source buym_yelp.sh` inserted before their existing `source buh_handbook.sh` line: Tools/buk/buhw_cli.sh, Tools/buk/burh_cli.sh, Tools/rbk/rbgp_cli.sh, Tools/rbk/rblm_cli.sh. Style matches each file local — buhw/rblm use `|| buc_die`, burh/rbgp do not. Surfaced when ₢BBAAM verification attempted RELEASE.md step 2 marshal-zero — rblm_zero died at the first buh_section with 'zbuym_sentinel: command not found' because zbuh_kindle (buh_handbook.sh:51) calls into buym, which the calling CLI hadn't sourced. burh_cli.sh was also latently broken at line 113 (buyy_cmd_yawp usage), unrelated to marshal-zero but on the same fix shape. Per BCG boilerplate-function table line 124 (Module header / Implementation / Can Source? No), only _cli.sh files may contain source statements — implementation modules including buh_handbook.sh cannot transitively source dependencies, so the fix has to live in the CLIs. The sentinel-in-kindle + explicit CLI sourcing pattern is now uniformly applied across all CLI consumers; missing-kindle bug class closed for buym→buh callers. In-scope-additive to ₢BBAAM per cycle-driven-debug docket disposition: the bug was blocking the verification path so the fix routes here rather than reopening A6. Build/test verification deferred to next cycle's rbw-MZ rerun.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2026-04-27 09:54  d2dec554  [n]    ₢BBAAM    Step 5 of rbrr-depot-identity-collapse: pristine-lifecycle Rust fixture (cases 2 & 3) reshape to consume Step 4's per-moniker fact-file infrastructure. Closes the depot-identity-collapse loop — producer (rbgp_depot_list emitting <moniker>.depot files) is now matched by a Rust consumer (theurge picking the next free moniker per family stem). (1) Constants: dropped static moniker consts RBTDRP_DEPOT_MONIKER_LIFECYCLE='pristq01' and RBTDRP_DEPOT_MONIKER_GOVERNOR='pristg01' (replaced by family stems + autodetect), dropped RBTDRP_FACT_DEPOT_PROJECT_ID (orphan after Step 2 dropped the producer); added RBTDRP_FAMILY_STEM_LIFECYCLE='pristq', RBTDRP_FAMILY_STEM_GOVERNOR='pristg', RBTDRP_FAMILY_NUMERIC_FLOOR: u32 = 100000, RBTDRP_FAMILY_NUMERIC_WIDTH: usize = 6, RBTDRP_FACT_EXT_DEPOT='depot' (mirror of bash RBGP_FACT_EXT_DEPOT). (2) New helper rbtdrp_pick_next_moniker(list_result, family_stem) walks the depot_list invocation's BURV output dir for <family>NNNNNN.depot files, strips suffix and prefix, requires exact six-digit numeric width (so legacy two-digit names like 'pristq01' can't be parsed as 1 and shadow real entries), parses to u32, returns <family><max+1>. Returns <family>FLOOR when no matching files exist or the output dir is missing (first-run case). (3) New helper rbtdrp_compose_project_id(root, moniker) reads RBRR_CLOUD_PREFIX from rbrr.env and returns ${cloud_prefix}d-${moniker} — mirrors RBDC_DEPOT_PROJECT_ID derivation, used post-levy purely for the diagnostic project-id.txt tee since the fact-file producer is gone. (4) Case 2 (rbtdrp_depot_lifecycle_impl) flow reshaped: install_throwaway_prefixes → invoke depot_list 'list-pre' (probe existing depots, populate fact files) → rbtdrp_pick_next_moniker(list_pre, FAMILY_STEM_LIFECYCLE) → rbtdrp_install_depot_moniker(picked) → invoke depot_levy zero-arg → rbtdrp_compose_project_id for tee → invoke depot_list 'list-present' + assert project_id in stdout → invoke depot_unmake zero-arg → invoke depot_list 'list-after' + assert absent-or-DELETE_REQUESTED. Doc comment updated to describe the autodetect+zero-arg lifecycle. (5) Case 3 (rbtdrp_governor_lifecycle_impl) flow reshaped with same prelude (probe → pick FAMILY_STEM_GOVERNOR → install → levy → compose); removed the buggy STEP-5-PENDING block that previously passed project_id as the moniker (Step-1 artifact — the install_depot_moniker(project_id) call was semantically inverted, installing the full project_id string into RBRR_DEPOT_MONIKER which would have fatal'd zrbrr_enforce post-Step-2 once the regex check '^[a-z][a-z0-9]*$' rejected the embedded hyphen). Mantle/forfeit/list assertions unchanged (governor SA email is the unit of identity for that segment). Cleanup unmake call switched to zero-arg. (6) STEP-5-PENDING annotation removed. Build green: rbtd-b. Tests not yet run — case 1 (marshal-zero attestation) is fast-suite and will pass; cases 2-3 are crucible/service tier and require live GCP credentials. The pristine-lifecycle fixture as a whole is now reachable post-collapse but real exercise still needs service-tier credentials. RCG file-size threshold: file grew from 760 to 885 lines (over 800-line stop-and-ask threshold); not refactored as part of this notch — user direction pending on whether to split case-1 attestation off into its own file in a follow-on pace, or leave as is. With Step 5 landed, BBAAM's seven paddock locks all have their producers + consumers + fixtures aligned; pace ready to wrap on user signal.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2026-04-27 09:43  8eb44097  [n]    ₢BBAAM    Step 4 of rbrr-depot-identity-collapse: rbgp_depot_list reshape with per-moniker fact-file emission. Consumes the buf_write_fact_multi infrastructure landed in parallel by ₢BBAAO. (1) New internal helper zrbgp_depot_state_emit factors the per-installation depot-state probe into a single function: takes an OAuth token, queries CRM v1 for projects matching ${RBRR_CLOUD_PREFIX}d-* (no lifecycleState filter so DELETE_REQUESTED projects also surface), classifies each match (DELETE_REQUESTED → RBGP_DEPOT_STATE_DELETE_REQUESTED; ACTIVE + Mason SA HEAD returns 200 → RBGP_DEPOT_STATE_COMPLETE; ACTIVE + Mason SA absent → RBGP_DEPOT_STATE_BROKEN; other lifecycle states logged and skipped), and emits one buf_write_fact_multi <moniker> <RBGP_FACT_EXT_DEPOT> <state> per matched project. Single-shot per dispatch by design — buf_write_fact_multi dies on preexist, so a second call within the same dispatch would fatal at the first repeated moniker; the one-tabtarget-per-dispatch grain means this is safe. (2) zrbgp_depot_list_update simplified to a thin wrapper: captures own token, calls helper. The previous implementation queried CRM v1, filtered locally, and logged counts to no persistent location — the comment 'Note: This would normally update rbrp.env file. For now, we'll export to environment and log the result.' marked it as half-baked tracking; with Step 4 the function finally lives up to its name (refresh fact files). The two callsites in levy (line ~810) and unmake (line ~951) stay unchanged. (3) rbgp_depot_list reshaped to call helper then walk emitted fact files: authenticate → zrbgp_depot_state_emit → render summary by globbing ${BURD_OUTPUT_DIR}/*.${RBGP_FACT_EXT_DEPOT}, deriving moniker from filename stem, project_id from ${RBRR_CLOUD_PREFIX}d-${moniker}, and state via $(<file). Filesystem is the data bus — no third intermediate (the initial draft proposed a ZRBGP_DEPOT_STATE_SUMMARY pipe-separated file, dropped after review questioned its necessity). Stdout format kept per docket (PROJECT_ID + STATUS table, then SUMMARY block); summary now includes a Delete-requested count alongside Complete/Broken. Dead RBRP env-var test -n checks (RBRP_PAYOR_PROJECT_ID, RBRP_OAUTH_CLIENT_ID) dropped consistent with Steps 2/3 cleanup pattern (zrbrp_enforce in zrbgp_furnish covers them). (4) BCG-compliance pass: per-iteration synthesized locals hoisted outside loops with empty init per BCG exception 2; [[ ]] only for glob pattern match (RBRR_CLOUD_PREFIX matching), test elsewhere; local -r for set-once values, plain local for accumulators/counters; two-line capture for $(...), one-line $(<file) builtin OK per BCG line 572; brace-group { ...; continue; } for inline skip; shopt -s nullglob / shopt -u nullglob flanks the fact-file glob; no heredocs, no bash-4 features, no inline shellcheck. Out-of-scope (deliberately): RBSDL-depot_list.adoc spec staleness (separate pace, parallel to RBSDE/RBSDU); pristine-lifecycle Rust fixture consumption is Step 5. Other officium left two unrelated paths dirty in working tree (RBSHR-HorizonRoadmap.adoc modified, Memos/memo-20260427-google-native-human-auth.md untracked) — not mine, not in this commit per CLAUDE.md additive-only discipline. Not yet tested — verification pending.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2026-04-27 09:43  2f59714b  [n]    ₣BB       Capture the Google-native human authentication design (browser OAuth + service-account impersonation as a no-gcloud alternative to RBRA keyfile distribution) as a horizon-roadmap-eligible concept. New memo Memos/memo-20260427-google-native-human-auth.md is the load-bearing artifact: problem (RBRA distribution + revocation friction at adoption scale), three approaches evaluated (status quo / gcloud+ADC / REST-only OAuth+impersonation with C recommended), mechanism detail (auth flow / storage shape / IAM-binding-on-SA model where SAs are dual-natured identity+resource / Governor verb extension sibling to mantle/charter/knight/forfeit), coexistence with RBRA (additive — keyfiles still needed for headless paths, regime mode field branches at lowest layer), threat model table (every axis stronger than keyfile model), open questions (storage location, OAuth client scope, onboarding track shape, probe coexistence, mode field placement), relationship to existing roadmap items (no direct dependency; spirit-related to credential confinement). RBSHR-HorizonRoadmap.adoc restructured: all 7 ===== subsection headings dropped per user directive that roadmap ideas should be peers without hierarchical grouping. Cross-Cloud Delivery section's intro stance (asymmetric sovereignty + tentative vocabulary disclaimer) converted to a peer entry titled 'Cross-cloud architectural stance: asymmetric sovereignty' with its own _Trigger_ and _Reference_ to preserve the load-bearing framing without a section header. Build Pipeline Security section's intro paragraph (evaluated-and-deferred framing + RBSCB pointer) deleted as redundant — each entry's existing _Trigger_ and _Reference_ already convey deferral status and point to RBSCB analysis. New entry 'Browser-OAuth human authentication for Governor / Director / Retriever' appended at end (8 sentences body, matching cohesive-feature length precedent like 'Hairpin peer access' / 'Hoard'); references the memo as evidence base, mirroring the precedent set by the Crucible Conduit Architecture entries that point at memo-20260415-crucible-conduit-architecture.md. Verification: zero remaining ===== headings; 26 entries total (24 original + 1 converted sovereignty stance + 1 new human-auth); file shrunk from 308 to 303 lines.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
